<<<<<<< HEAD
,username,email,first_name,last_name
,stu2024102,stu2024102@school.edu,Michael,Tanner
,stu2024103,stu2024103@school.edu,Michael,Vanek
,stu2024104,stu2024104@school.edu,Paul,Brentlinger
,stu2024105,stu2024105@school.edu,Paul,DeHart
,stu2024106,stu2024106@school.edu,Nate,DeHart
,stu2024107,stu2024107@school.edu,Nate,Wolf
,stu2024108,stu2024108@school.edu,Grant,Steyer
,stu2024109,stu2024109@school.edu,Todd,Steyer
,stu2024110,stu2024110@school.edu,Teddy,Guyulas
,stu2024111,stu2024111@school.edu,Tommy,Guyulas
,stu2024112,stu2024112@school.edu,Wyatt,Cravatas
,stu2024113,stu2024113@school.edu,Michael,Deuring
,stu2024114,stu2024114@school.edu,Aaron,Hicks
,stu2024115,stu2024115@school.edu,Doug,Dougherty
,stu2024116,stu2024116@school.edu,Matthew,Honaker
,stu2024117,stu2024117@school.edu,Andrew,Konya
,stu2024118,stu2024118@school.edu,Fred,Leach
,stu2024119,stu2024119@school.edu,Cole,Morgan
,stu2024120,stu2024120@school.edu,Keeler,North
,stu2024121,stu2024121@school.edu,Jason,Routzon
,stu2024122,stu2024122@school.edu,Jim,Shimer
,stu2024123,stu2024123@school.edu,Kevin,Tinter
,stu2024124,stu2024124@school.edu,Daniel,Tousley
,stu2024125,stu2024125@school.edu,Paul,Tousley
,stu2024126,stu2024126@school.edu,Adam,Whitney
,stu2024127,stu2024127@school.edu,Seth,Whitney
,stu2024128,stu2024128@school.edu,Wesley,Loudermilk
,stu2024129,stu2024129@school.edu,Wesley,Ziegler
,stu2024130,stu2024130@school.edu,Charles,Ziegler
,stu2024131,stu2024131@school.edu,David,Mullins
,stu2024132,stu2024132@school.edu,Scott,Severence
,stu2024133,stu2024133@school.edu,Jason,Stephens
,stu2024134,stu2024134@school.edu,Brad,Seivers
,stu2024135,stu2024135@school.edu,Zach,Oswold
,stu2024136,stu2024136@school.edu,Wes,Boggs
,stu2024137,stu2024137@school.edu,Matthew,Strang
,stu2024138,stu2024138@school.edu,David,Meisner
,stu2024139,stu2024139@school.edu,Wyatt,Henderson
,stu2024140,stu2024140@school.edu,Adam,Wonus
,stu2024141,stu2024141@school.edu,Matthew,McCleese
,stu2024142,stu2024142@school.edu,Cameron,Vogle
,stu2024143,stu2024143@school.edu,Bodie,Hillwig
,stu2024144,stu2024144@school.edu,Kevin,Pesheck
,stu2024145,stu2024145@school.edu,Ian,Pesheck
,stu2024146,stu2024146@school.edu,Christian,Pesheck
,stu2024147,stu2024147@school.edu,Andy,Zywick
,stu2024148,stu2024148@school.edu,John,Zywick
,stu2024149,stu2024149@school.edu,David,Brown
,stu2024150,stu2024150@school.edu,Andrew,Stefan
,stu2024151,stu2024151@school.edu,Matthew,Stefan
,stu2024152,stu2024152@school.edu,Christopher,Brown
,stu2024153,stu2024153@school.edu,Ben,Olsen
,stu2024154,stu2024154@school.edu,Bryce,Sedio
,stu2024155,stu2024155@school.edu,Jared,Wills
,stu2024156,stu2024156@school.edu,Nick,WIlls
,stu2024157,stu2024157@school.edu,Casey,O'Brian
,stu2024158,stu2024158@school.edu,Shawn,O'Brian
,stu2024159,stu2024159@school.edu,Jason,Linden
,stu2024160,stu2024160@school.edu,Perry,Cohen
,stu2024161,stu2024161@school.edu,Austin,Stephanos
,stu2024162,stu2024162@school.edu,Steven,Roque
,stu2024163,stu2024163@school.edu,Nathan,Roque
,stu2024164,stu2024164@school.edu,Geoffry,Martel
,stu2024165,stu2024165@school.edu,Gregory,Martel
,stu2024166,stu2024166@school.edu,Grant,Martel
,stu2024167,stu2024167@school.edu,Eric,Clinton
,stu2024168,stu2024168@school.edu,J'mark,Boliver
,stu2024169,stu2024169@school.edu,J'Herne,Boliver
,stu2024170,stu2024170@school.edu,Mark,Zurowski
,stu2024171,stu2024171@school.edu,Matthew,Zurowski
,stu2024172,stu2024172@school.edu,Michael,Zurowski
,stu2024173,stu2024173@school.edu,Duncan,McCord
,stu2024174,stu2024174@school.edu,Malcom,McCord
,stu2024175,stu2024175@school.edu,Angus,McCord
,stu2024176,stu2024176@school.edu,Clay,Parris
,stu2024177,stu2024177@school.edu,Kendall,Virginia
,stu2024178,stu2024178@school.edu,Mathias,Uribe
,stu2024179,stu2024179@school.edu,Nicholas,Uribe
,stu2024180,stu2024180@school.edu,Michael,Stolzenberg
,stu2024181,stu2024181@school.edu,Harris,Stolzenberg
,stu2024182,stu2024182@school.edu,Philip,Mashki
,stu2024183,stu2024183@school.edu,Philip,Mahi
,stu2024184,stu2024184@school.edu,Florian,France
,stu2024185,stu2024185@school.edu,Julian,France
,stu2024186,stu2024186@school.edu,Donny,harmison
,stu2024187,stu2024187@school.edu,Donny,MPMS
,stu2024188,stu2024188@school.edu,Chris,Keope
,stu2024189,stu2024189@school.edu,Jake,Carner
,stu2024190,stu2024190@school.edu,Jake,Jurowski
,stu2024191,stu2024191@school.edu,Robbie,MPMS
,stu2024192,stu2024192@school.edu,Phillip,Green
,stu2024193,stu2024193@school.edu,Shawn,Green
,stu2024194,stu2024194@school.edu,shawn,gray
,stu2024195,stu2024195@school.edu,Brandon,Knight
,stu2024196,stu2024196@school.edu,Phillip,Wilsie
,stu2024197,stu2024197@school.edu,Caleb,Hollo
,stu2024198,stu2024198@school.edu,Jared,Grey
,stu2024199,stu2024199@school.edu,Redmond,Gerard
,stu2024200,stu2024200@school.edu,Tom,Holland
,stu2024201,stu2024201@school.edu,Lucas,Judy
,stu2024202,stu2024202@school.edu,Lucas,Benentt
,stu2024203,stu2024203@school.edu,Jared,Enting
,stu2024204,stu2024204@school.edu,Jared,MPMS
,stu2024205,stu2024205@school.edu,Frank,Panstingal
,stu2024206,stu2024206@school.edu,Adrian,Wilson
,stu2024207,stu2024207@school.edu,Cory,Saddler
,stu2024208,stu2024208@school.edu,Nick,Markley
,stu2024209,stu2024209@school.edu,Telo ,Grove
,stu2024210,stu2024210@school.edu,Danny,Bevan
,stu2024211,stu2024211@school.edu,Josh,Green
,stu2024212,stu2024212@school.edu,Garett,Stewart
,stu2024213,stu2024213@school.edu,Mark,Bazemore
,stu2024214,stu2024214@school.edu,John,McVicker
,stu2024215,stu2024215@school.edu,Frank,DeCapio
,stu2024216,stu2024216@school.edu,Mark,Sunde
,stu2024217,stu2024217@school.edu,Jeremy,Morningstar
,stu2024218,stu2024218@school.edu,Jordan,Zolman
,stu2024219,stu2024219@school.edu,Mason,Cooley
,stu2024220,stu2024220@school.edu,Connor,masonfriend
,stu2024221,stu2024221@school.edu,Greg,Kinitis
,stu2024222,stu2024222@school.edu,Adam,Johnson
,stu2024223,stu2024223@school.edu,Justin,Bonheim
,stu2024224,stu2024224@school.edu,Blake,Bonheim
,stu2024225,stu2024225@school.edu,Andrew,Sherer
,stu2024226,stu2024226@school.edu,Mark,Zuiderveen
,stu2024227,stu2024227@school.edu,Jim,Ringer
,stu2024228,stu2024228@school.edu,Jason,Mascari
,stu2024229,stu2024229@school.edu,brent,Davis
,stu2024230,stu2024230@school.edu,Danny,Kyper
,stu2024231,stu2024231@school.edu,Danny,Webster
,stu2024232,stu2024232@school.edu,clay,Febus
,stu2024233,stu2024233@school.edu,Brian,clayfriend
,stu2024234,stu2024234@school.edu,David,Farley
,stu2024235,stu2024235@school.edu,Tyler,Andrew
,stu2024236,stu2024236@school.edu,Brian,Vickers
,stu2024237,stu2024237@school.edu,Anthony,PIasano
,stu2024238,stu2024238@school.edu,Zach,Arnold
,stu2024239,stu2024239@school.edu,Brandon,Kaskey
,stu2024240,stu2024240@school.edu,Jimmy,Kaskey
,stu2024241,stu2024241@school.edu,Jimmy,Guess
,stu2024242,stu2024242@school.edu,Eric,Guillentine
,stu2024243,stu2024243@school.edu,Joshua,Mullins
,stu2024244,stu2024244@school.edu,Nathan,Cunningham
,stu2024245,stu2024245@school.edu,Seth,Cunningham
,stu2024246,stu2024246@school.edu,Benny,Cunningham
,stu2024247,stu2024247@school.edu,Alexi,Ivanovich
,stu2024248,stu2024248@school.edu,Ivan,Demitrovich
,stu2024249,stu2024249@school.edu,Dale,Berskin
,stu2024250,stu2024250@school.edu,Matt,Carper
,stu2024251,stu2024251@school.edu,Jack,Carper
,stu2024252,stu2024252@school.edu,Austin,Oh
,stu2024253,stu2024253@school.edu,Ryan,Hornack
,stu2024254,stu2024254@school.edu,Shawn,Baisden
,stu2024255,stu2024255@school.edu,Jimmy,Meyers
,stu2024256,stu2024256@school.edu,Jimmy,Murphy
,stu2024257,stu2024257@school.edu,Brad,Brock
,stu2024258,stu2024258@school.edu,Randy,Richner
,stu2024259,stu2024259@school.edu,Andrew,Witzak
,stu2024260,stu2024260@school.edu,Kyle,Bruffy
,stu2024261,stu2024261@school.edu,Alex,dakota
,stu2024262,stu2024262@school.edu,Danny,Dakota
,stu2024263,stu2024263@school.edu,David,Calif
,stu2024264,stu2024264@school.edu,Jeremy,playfirstbase
,stu2024265,stu2024265@school.edu,David,Jamison
,stu2024266,stu2024266@school.edu,Barry,Horvath
,stu2024267,stu2024267@school.edu,Marc,Berry
,stu2024268,stu2024268@school.edu,Marc,Calif
,stu2024269,stu2024269@school.edu,Troy,Berry
,stu2024270,stu2024270@school.edu,Kyle,Chippewa
,stu2024271,stu2024271@school.edu,Matthew,Lacrosse
,stu2024272,stu2024272@school.edu,Derwin,Loverink
,stu2024273,stu2024273@school.edu,Peter,Loverink
,stu2024274,stu2024274@school.edu,Aiden,Loverink
,stu2024275,stu2024275@school.edu,Gordy,Sanders
,stu2024276,stu2024276@school.edu,Nico,White
,stu2024277,stu2024277@school.edu,Tommy,Brady
,stu2024278,stu2024278@school.edu,Aaron,Green
,stu2024279,stu2024279@school.edu,Mike,Long
,stu2024280,stu2024280@school.edu,Mike,Cole
,stu2024281,stu2024281@school.edu,Jordan,Grills
,stu2024282,stu2024282@school.edu,Johnny,McDougal
,stu2024283,stu2024283@school.edu,Steve,Brown
,stu2024284,stu2024284@school.edu,Greg,Streme
,stu2024285,stu2024285@school.edu,Abdul,Gassed
,stu2024286,stu2024286@school.edu,Greg ,Cornelius
,stu2024287,stu2024287@school.edu,Bobby,Pembridge
,stu2024288,stu2024288@school.edu,Tim,Miskimen
,stu2024289,stu2024289@school.edu,Ryan,O'Callaghan
,stu2024290,stu2024290@school.edu,Eric,O'Callaghan
,stu2024291,stu2024291@school.edu,Codi,Schmidt-McPhee
,stu2024292,stu2024292@school.edu,Ty,Sheridin
,stu2024293,stu2024293@school.edu,Jacob seth,Loughland
,stu2024294,stu2024294@school.edu,Seth,Clearwater
,stu2024295,stu2024295@school.edu,Thomas,Brodi-Sanger
,stu2024296,stu2024296@school.edu,Mickey,Matson
,stu2024297,stu2024297@school.edu,Brett,Portage
,stu2024298,stu2024298@school.edu,Brett,Nau
,stu2024299,stu2024299@school.edu,David,Wright
,stu2024300,stu2024300@school.edu,Frankie,Suthard
,stu2024301,stu2024301@school.edu,Cody,Suthard
,stu2024302,stu2024302@school.edu,Jase,Suthard
,stu2024303,stu2024303@school.edu,Philip,Smith-bros
,stu2024304,stu2024304@school.edu,Reshet,Moti
,stu2024305,stu2024305@school.edu,CJ,Scout
,stu2024306,stu2024306@school.edu,Caleb,Scout
,stu2024307,stu2024307@school.edu,Chris,Scout
,stu2024308,stu2024308@school.edu,Misha,Hotel
,stu2024309,stu2024309@school.edu,Matty,Aussie
,stu2024310,stu2024310@school.edu,Julian,Aussie
,stu2024311,stu2024311@school.edu,Mikey,Argy
,stu2024312,stu2024312@school.edu,Sandro,Argy
,stu2024313,stu2024313@school.edu,Jeremy,Kocher
,stu2024314,stu2024314@school.edu,Zach,Kocher
,stu2024315,stu2024315@school.edu,Gregory,Petek
,stu2024316,stu2024316@school.edu,Thomas,Petek
,stu2024317,stu2024317@school.edu,Mark,Regowski
,stu2024318,stu2024318@school.edu,Randall,Bolinger
,stu2024319,stu2024319@school.edu,Eric,Larson
,stu2024320,stu2024320@school.edu,Steven,Larson
,stu2024321,stu2024321@school.edu,Carter,Bratton
,stu2024322,stu2024322@school.edu,Rotem,Mathias
,stu2024323,stu2024323@school.edu,Erick,Johnson
,stu2024324,stu2024324@school.edu,Jacob,Wetterling
,stu2024325,stu2024325@school.edu,Tom,Daley
,stu2024326,stu2024326@school.edu,Tom,Danley
,stu2024327,stu2024327@school.edu,Brig,Miller
,stu2024328,stu2024328@school.edu,Dillon,Weisler
,stu2024329,stu2024329@school.edu,Jaden,Henline
,stu2024330,stu2024330@school.edu,Ryan,McManus
,stu2024331,stu2024331@school.edu,Jacob,Miracle
,stu2024332,stu2024332@school.edu,Aiden,Bryant
,stu2024333,stu2024333@school.edu,Bo,Folger
,stu2024334,stu2024334@school.edu,Tyler,Folger
,stu2024335,stu2024335@school.edu,Lucas,Folger
,stu2024336,stu2024336@school.edu,Cort,Oregon
,stu2024337,stu2024337@school.edu,David,Whitewolf
,stu2024338,stu2024338@school.edu,Ralph,Marachio
,stu2024339,stu2024339@school.edu,Devon,Sawa
,stu2024340,stu2024340@school.edu,Greg,Xenon
,stu2024341,stu2024341@school.edu,Robert,Irwin
,stu2024342,stu2024342@school.edu,Drilon,Sadiku
,stu2024343,stu2024343@school.edu,Drin,Sadiku
,stu2024344,stu2024344@school.edu,Lucas,Wallencheck
,stu2024345,stu2024345@school.edu,Brian,Clouds
,stu2024346,stu2024346@school.edu,Charlie,Bandan
,stu2024347,stu2024347@school.edu,Tyler,VA
,stu2024348,stu2024348@school.edu,Grayson,DC
,stu2024349,stu2024349@school.edu,Tanner,VA
,stu2024350,stu2024350@school.edu,Taylor,Starr
,stu2024351,stu2024351@school.edu,Hunter,Starr
,stu2024352,stu2024352@school.edu,Thomas,Tex
,stu2024353,stu2024353@school.edu,Robert,Burroughs
,stu2024354,stu2024354@school.edu,David,Anthony
,stu2024355,stu2024355@school.edu,William,Blakeney
,stu2024356,stu2024356@school.edu,Philip,Model
,stu2024357,stu2024357@school.edu,Scott,Allen
,stu2024358,stu2024358@school.edu,Scott,Drummond
,stu2024359,stu2024359@school.edu,Ron,Drummond
,stu2024360,stu2024360@school.edu,Brett,Klauss
,stu2024361,stu2024361@school.edu,Jason,Klauss
,stu2024362,stu2024362@school.edu,Zach,Garner
,stu2024363,stu2024363@school.edu,Keegan,Garner
,stu2024364,stu2024364@school.edu,Zach,Mesinko
,stu2024365,stu2024365@school.edu,Adam,Mesinko
,stu2024366,stu2024366@school.edu,Danny,Chambers
,stu2024367,stu2024367@school.edu,Danny,Honeycutt
,stu2024368,stu2024368@school.edu,Danny,Winton
,stu2024369,stu2024369@school.edu,Lars,Eckburg
,stu2024370,stu2024370@school.edu,Duke,Gains
,stu2024371,stu2024371@school.edu,Jeff,Mohler
,stu2024372,stu2024372@school.edu,Andrew,Mohler
,stu2024373,stu2024373@school.edu,Nathan,Mohler
,stu2024374,stu2024374@school.edu,Jacob,Mohler
,stu2024375,stu2024375@school.edu,Martin,Mohler
,stu2024376,stu2024376@school.edu,Randall,Mohler
,stu2024377,stu2024377@school.edu,Jeremy,Reeder
,stu2024378,stu2024378@school.edu,Ben,Hawley
,stu2024379,stu2024379@school.edu,Joshua,Robb
,stu2024380,stu2024380@school.edu,JJ,Robb
,stu2024381,stu2024381@school.edu,Joey,Robb
,stu2024382,stu2024382@school.edu,Ilia,Malinin
,stu2024383,stu2024383@school.edu,Simon,Brown
,stu2024384,stu2024384@school.edu,Tyler,Kobel
,stu2024385,stu2024385@school.edu,Mario,Roulette
,stu2024386,stu2024386@school.edu,Rick,Dancer
,stu2024387,stu2024387@school.edu,Gabriel,Silva
,stu2024388,stu2024388@school.edu,Joshua,Kontour
,stu2024389,stu2024389@school.edu,Evan,Kontour
,stu2024390,stu2024390@school.edu,Joshua,Dundr
,stu2024391,stu2024391@school.edu,David,Merk
,stu2024392,stu2024392@school.edu,Charles,Ridley
,stu2024393,stu2024393@school.edu,Johnathan,Ridley
,stu2024394,stu2024394@school.edu,Paul,Ridley
,stu2024395,stu2024395@school.edu,Michael,Slayton
,stu2024396,stu2024396@school.edu,Christian,Slayton
,stu2024397,stu2024397@school.edu,Levi,McCoaughey
,stu2024398,stu2024398@school.edu,Livingston,McConaughey
,stu2024399,stu2024399@school.edu,William,Vance
,stu2024400,stu2024400@school.edu,Andrew,Miller
,stu2024401,stu2024401@school.edu,Bradley,Little
,stu2024402,stu2024402@school.edu,Curtis,Post
,stu2024403,stu2024403@school.edu,Scout,Beachovich
,stu2024404,stu2024404@school.edu,Deven,Jackson
,stu2024405,stu2024405@school.edu,Casey,Likes
,stu2024406,stu2024406@school.edu,Eitan,Yahalomi
,stu2024407,stu2024407@school.edu,Rizkallah,Saliba
,stu2024408,stu2024408@school.edu,Austin,Saliba
,stu2024409,stu2024409@school.edu,David,Saliba
,stu2024410,stu2024410@school.edu,Neil,Rutter
,stu2024411,stu2024411@school.edu,John,Skyview
,stu2024412,stu2024412@school.edu,Timothy,Bair
,stu2024413,stu2024413@school.edu,David,Bair
,stu2024414,stu2024414@school.edu,Michael,Weber
,stu2024415,stu2024415@school.edu,Dean,Howard
,stu2024416,stu2024416@school.edu,Brandon,DelToro
,stu2024417,stu2024417@school.edu,Aaron,Favri
,stu2024418,stu2024418@school.edu,Carson,Glasier
,stu2024419,stu2024419@school.edu,Connor,Glasier
,stu2024420,stu2024420@school.edu,Marty,Sampson
=======
,username,email,first_name,last_name
,stu2024001,stu2024001@school.edu,Jeremy,Stitch
,stu2024002,stu2024002@school.edu,Quinton,Kocher
,stu2024003,stu2024003@school.edu,Lander,Busse
,stu2024004,stu2024004@school.edu,Badge,Busse
,stu2024005,stu2024005@school.edu,Daniel,Beresky
,stu2024006,stu2024006@school.edu,David,Beresky
,stu2024007,stu2024007@school.edu,Derek,Beresky
,stu2024008,stu2024008@school.edu,Ron,Allen
,stu2024009,stu2024009@school.edu,William,Arthur
,stu2024010,stu2024010@school.edu,Jeff,Bania
,stu2024011,stu2024011@school.edu,Thomas,Brown
,stu2024012,stu2024012@school.edu,Jeff,Clay
,stu2024013,stu2024013@school.edu,Greg,Hochstetler
,stu2024014,stu2024014@school.edu,Tim,Johnson
,stu2024015,stu2024015@school.edu,Eric,Johnson
,stu2024016,stu2024016@school.edu,Jerry,King
,stu2024017,stu2024017@school.edu,James,Lambright
,stu2024018,stu2024018@school.edu,Heath,Lambright
,stu2024019,stu2024019@school.edu,Rod,Linville
,stu2024020,stu2024020@school.edu,Brent,Lowe
,stu2024021,stu2024021@school.edu,Rex,Lowe
,stu2024022,stu2024022@school.edu,Brian,Miller
,stu2024023,stu2024023@school.edu,Frank,Oren
,stu2024024,stu2024024@school.edu,Matthew,Patsch
,stu2024025,stu2024025@school.edu,Chris,Ricker
,stu2024026,stu2024026@school.edu,Alan,Ripper
,stu2024027,stu2024027@school.edu,Adam,Ripper
,stu2024028,stu2024028@school.edu,Tim,Scheutzow
,stu2024029,stu2024029@school.edu,Jim,Surratt
,stu2024030,stu2024030@school.edu,George,Vermilyea
,stu2024031,stu2024031@school.edu,Michael,Winter
,stu2024032,stu2024032@school.edu,David,Winter
,stu2024033,stu2024033@school.edu,Bill,Bixby
,stu2024034,stu2024034@school.edu,Justin,Brenenstuhl
,stu2024035,stu2024035@school.edu,Bruce,Collier
,stu2024036,stu2024036@school.edu,Matthew,Hoert
,stu2024037,stu2024037@school.edu,Chad,Hoert
,stu2024038,stu2024038@school.edu,Joshua,Hoert
,stu2024039,stu2024039@school.edu,Zach,Misenko
,stu2024040,stu2024040@school.edu,Adam,Misenko
,stu2024041,stu2024041@school.edu,Seth,Misenko
,stu2024042,stu2024042@school.edu,Rob,Cook
,stu2024043,stu2024043@school.edu,Shawn,Gebbie
,stu2024044,stu2024044@school.edu,Christopher,Conwill
,stu2024045,stu2024045@school.edu,David,Conwill
,stu2024046,stu2024046@school.edu,David,Gillespie
,stu2024047,stu2024047@school.edu,John Mark,Hershberger
,stu2024048,stu2024048@school.edu,Kurt,Kramer
,stu2024049,stu2024049@school.edu,Kenton,Kramer
,stu2024050,stu2024050@school.edu,Tommy,Lamborn
,stu2024051,stu2024051@school.edu,David,Lamborn
,stu2024052,stu2024052@school.edu,Michael,Leach
,stu2024053,stu2024053@school.edu,Jonathan,Sommer
,stu2024054,stu2024054@school.edu,Timothy,McQuerry
,stu2024055,stu2024055@school.edu,Todd,Meridith
,stu2024056,stu2024056@school.edu,Sean,Miller
,stu2024057,stu2024057@school.edu,Reed,Monegan
,stu2024058,stu2024058@school.edu,Steve,Nowack
,stu2024059,stu2024059@school.edu,Matthew,Oates
,stu2024060,stu2024060@school.edu,Kevin,Payne
,stu2024061,stu2024061@school.edu,Rick,Powers
,stu2024062,stu2024062@school.edu,Joshua,Powers
,stu2024063,stu2024063@school.edu,Ryan,Roberts
,stu2024064,stu2024064@school.edu,Darin,Rosenvold
,stu2024065,stu2024065@school.edu,Jeff,Roth
,stu2024066,stu2024066@school.edu,Jonathan,Roth
,stu2024067,stu2024067@school.edu,John,Sebestyen
,stu2024068,stu2024068@school.edu,David,Snyder
,stu2024069,stu2024069@school.edu,Timothy,Work
,stu2024070,stu2024070@school.edu,Andrew,Male
,stu2024071,stu2024071@school.edu,William,Surgeon
,stu2024072,stu2024072@school.edu,Ben,toot
,stu2024073,stu2024073@school.edu,Michael,Smith
,stu2024074,stu2024074@school.edu,Robert,Ward
,stu2024075,stu2024075@school.edu,Bob,Weinerheimer
,stu2024076,stu2024076@school.edu,Jeff,Williams
,stu2024077,stu2024077@school.edu,Bo,Wilson
,stu2024078,stu2024078@school.edu,Bill,Wilson
,stu2024079,stu2024079@school.edu,Brian,Wolf
,stu2024080,stu2024080@school.edu,Jay,Hardback
,stu2024081,stu2024081@school.edu,Joe,Phillips
,stu2024082,stu2024082@school.edu,Linden,Phillips
,stu2024083,stu2024083@school.edu,Tom,Smith
,stu2024084,stu2024084@school.edu,Thomas,Ellison
,stu2024085,stu2024085@school.edu,Ben,Legg
,stu2024086,stu2024086@school.edu,Marty,Walker
,stu2024087,stu2024087@school.edu,Bobby,Scandlon
,stu2024088,stu2024088@school.edu,Patrick,Scandlon
,stu2024089,stu2024089@school.edu,Willard,Scandlon
,stu2024090,stu2024090@school.edu,Austin,Scandlon
,stu2024091,stu2024091@school.edu,Jimmy,Myers
,stu2024092,stu2024092@school.edu,Tony,Dulgar
